Id. urządzenia,Kod urządzenia,Opis urządzenia,Id. typu urządzenia,Kod typu urządzenia,Kategoria typu urządzenia,Id. obiektu urządzenia,Id. grupy urządzenia,Typ komunikacji,Adres urządzenia,Kod budynku,Status opisu,Stan urządzenia,Kod miasta,Adres GPS urządzenia,Adres IP urządzenia,Instr. urządzenia,Instr. alarm. urządzenia,Instr. urządzenia(param.),Plan_przeglądów,Czas aktualizacji,Id. miasta,Id. budynku,Kod FK urządzenia,Numer urządzenia
5001,LC K10-01 CO,Licznik CO Vito Białogard,17,Licznik CO(O),R,40,783,"MAN,0,0,0,0,CO",Słowińska 1,Miasto,A,Praca,Białogard,"54,0156098 15,9612949",,,,,,2017-11-18 19:07,2,1,,
5002,LC K10-02 CO,Licznik CO ABPHARMA,17,Licznik CO(O),R,40,783,"MAN,0,0,0,0,CO",OLimpijska 1a,Miasto,A,Praca,Białogard,"54,0139409 15,9550516",,,,,,2017-06-07 15:29,2,1,,
5003,LC K10-03 CO,Licznik CO Biblioteka Publiczna,17,Licznik CO(O),R,40,783,"MAN,0,0,0,0,CO",Grunwaldzka 46,Miasto,A,Praca,Białogard,"54,0071357 15,9927613",,,,,,2017-06-07 15:29,2,1,,
5004,LC K10-04 CO,Licznik CO Ciszewskiego 3,17,Licznik CO(O),R,40,783,"BSM,2,16,2,16,CO",Ciszewskiego 3,Miasto,A,Praca,Białogard,"54,0142095 15,9525815",,,,,,2017-06-07 15:29,2,1,,
5005,LC K10-05 CW,Licznik CW Ciszewskiego 3,18,Licznik CW(O),R,40,783,"BSM,2,16,2,16,CW",Ciszewskiego 3,Miasto,A,Praca,Białogard,"54,0139472 15,9526587",,,,,,2017-06-07 15:29,2,1,,
5006,LC K10-06 CO,Licznik CO Ciszewskiego 6,17,Licznik CO(O),R,40,783,"BSM,2,17,2,17,CO",Ciszewskiego 6,Miasto,A,Praca,Białogard,"54,0142835 15,9519221",,,,,,2017-06-07 15:29,2,1,,
5007,LC K10-07 CW,Licznik CW Ciszewskiego 6,18,Licznik CW(O),R,40,783,"BSM,2,17,2,17,CW",Ciszewskiego 6,Miasto,A,Praca,Białogard,"54,0142835 15,9519221",,,,,,2017-06-07 15:29,2,1,,
5008,LC K10-08 CO,Licznik CO Klub BSM,17,Licznik CO(O),R,40,783,"MAN,0,0,0,0,CO",Komara 19,Miasto,A,Praca,Białogard,"54,0121063 15,9556846",,,,,,2017-06-07 15:29,2,1,,
5009,LC K10-09 CO,Licznik CO WMN Kołobrzeska,17,Licznik CO(O),R,40,783,"BSM,1,131,1,39,CO",Kołobrzeska 19,Miasto,A,Praca,Białogard,"54,0085202 15,9716452",,,,,,2017-06-07 15:29,2,1,,
5010,LC K10-10 CO,Licznik CO Energa Operator,17,Licznik CO(O),R,40,783,"MAN,0,0,0,0,CO",Kołobrzeska 32,Miasto,A,Praca,Białogard,"54,0116600 15,9654011",,,,,,2017-06-07 15:29,2,1,,
5011,LC K10-11 CO,Licznik CO WSP,17,Licznik CO(O),R,40,783,"MAN,1,133,1,55,CO",Kołobrzeska 33,Miasto,A,Praca,Białogard,"54,0116600 15,9664011",,,,,,2017-06-07 15:29,2,1,,
5012,LC K10-12 CO,Licznik CO Baza ZRB,17,Licznik CO(O),R,40,783,"MAN,0,0,0,0,CO",Kołobrzeska ,Miasto,A,Praca,Białogard,"54,0118100 15,9566073",,,,,,2017-06-07 15:29,2,1,,
5013,LC K10-13 CO,Licznik CO BSM/KO/W-1,17,Licznik CO(O),R,40,783,"BSM,2,19,2,19,CO",Kołobrzeska 49,Miasto,A,Praca,Białogard,"54,0145524 15,9556846",,,,,,2017-06-07 15:29,2,1,,
5014,LC K10-14 CW,Licznik CW BSM/KO/W-1,18,Licznik CW(O),R,40,783,"BSM,2,19,2,19,CW",Kołobrzeska 49,Miasto,A,Praca,Białogard,"54,0145524 15,9556846",,,,,,2017-06-07 15:29,2,1,,
5015,LC K10-15 CO,Licznik CO BSM/G/W-1,17,Licznik CO(O),R,40,783,"BSM,2,20,2,20,CO",Kołobrzeska 51,Miasto,A,Praca,Białogard,"54,0137202 15,9576480",,,,,,2017-06-07 15:29,2,1,,
5016,LC K10-16 CW,Licznik CW BSM/G/W-1,18,Licznik CW(O),R,40,783,"BSM,2,20,2,20,CW",Kołobrzeska 51,Miasto,A,Praca,Białogard,"54,0137202 15,9576480",,,,,,2017-06-07 15:29,2,1,,
5017,LC K10-17 CO,Licznik CO BSM/K,17,Licznik CO(O),R,40,783,"BSM,2,5,2,5,CO",Kusocińskiego 1,Miasto,A,Praca,Białogard,"54,0111087 15,9541794",,,,,,2017-06-07 15:29,2,1,,
5018,LC K10-18 CW,Licznik CW BSM/K,18,Licznik CW(O),R,40,783,"BSM,2,5,2,5,CW",Kusocińskiego 1,Miasto,A,Praca,Białogard,"54,0111087 15,9541794",,,,,,2017-06-07 15:29,2,1,,
5019,LC K10-19 CO,Licznik CO BSM/K,17,Licznik CO(O),R,40,783,"BSM,2,6,2,6,CO",Kusocińskiego 2,Miasto,A,Praca,Białogard,"54,0113136 15,9535464",,,,,,2017-06-07 15:29,2,1,,
5020,LC K10-20 CW,Licznik CW BSM/K,18,Licznik CW(O),R,40,783,"BSM,2,6,2,6,CW",Kusocińskiego 2,Miasto,A,Praca,Białogard,"54,0113136 15,9535464",,,,,,2017-06-07 15:29,2,1,,
5021,LC K10-21 CO,Licznik CO BSM/K,17,Licznik CO(O),R,40,783,"BSM,2,7,2,7,CO",Kusocińskiego 3,Miasto,A,Praca,Białogard,"54,0116666 15,9528329",,,,,,2017-06-07 15:29,2,1,,
5022,LC K10-22 CW,Licznik CW BSM/K,18,Licznik CW(O),R,40,783,"BSM,2,7,2,7,CW",Kusocińskiego 3,Miasto,A,Praca,Białogard,"54,0116666 15,9528329",,,,,,2017-06-07 15:29,2,1,,
5023,LC K10-23 CO,Licznik CO PKP,17,Licznik CO(O),R,40,783,"BSM,2,2,2,2,CO",Malinowskiego 1,Miasto,A,Praca,Białogard,"54,0117104 15,9554018",,,,,,2017-06-07 15:29,2,1,,
